,Prefix,Last,First,Suffix,FilingType,StateDst,Year,FilingDate,DocID
73,HONORABLE,CAMP,DAVE,,O,MI04,2008,5/14/2008,8135645
74,HONORABLE,CAMPBELL,JOHN,,O,CA48,2008,6/26/2008,8138786
75,HONORABLE,CANNON,CHRIS,,O,UT03,2008,5/15/2008,8135646
76,HONORABLE,CANTOR,ERIC,,O,VA07,2008,5/15/2008,8135647
77,HONORABLE,CAPITO,SHELLEY MOORE,,O,WV02,2008,5/15/2008,8135648
78,HONORABLE,CAPPS,LOIS,,A,CA23,2008,5/20/2009,8140037
79,HONORABLE,CAPPS,LOIS,,O,CA23,2008,5/14/2008,8135649
80,HONORABLE,CAPUANO,MICHAEL E.,,A,MA08,2008,7/9/2008,8138828
81,HONORABLE,CAPUANO,MICHAEL E.,,O,MA08,2008,5/13/2008,8135650
82,HONORABLE,CARDOZA,DENNIS A.,,O,CA18,2008,5/15/2008,8135651
83,HONORABLE,CARNAHAN,RUSS,,O,MO03,2008,5/15/2008,8135652
84,HONORABLE,CARNEY,CHRISTOPHER P.,,O,PA10,2008,5/15/2008,8135653
85,HONORABLE,CARSON,ANDRE,,O,IN07,2008,5/14/2008,8135654
86,HONORABLE,CARTER,JOHN R.,,A,TX31,2008,10/29/2009,8143534
87,HONORABLE,CARTER,JOHN R.,,A,TX31,2008,6/12/2008,8138279
88,HONORABLE,CARTER,JOHN R.,,A,TX31,2008,7/23/2008,8138974
89,HONORABLE,CARTER,JOHN R.,,O,TX31,2008,5/14/2008,8135655
90,HONORABLE,CASTLE,MICHAEL N.,,A,DE00,2008,12/23/2008,8139573
91,HONORABLE,CASTLE,MICHAEL N.,,O,DE00,2008,6/10/2008,8138009
92,HONORABLE,CASTOR,KATHY,,O,FL11,2008,5/15/2008,8135656
93,HONORABLE,CAZAYOUX,DONALD J.,JR.,O,LA06,2008,6/5/2008,8138008
94,HONORABLE,CHABOT,STEVE,,O,OH01,2008,5/15/2008,8143341
95,HONORABLE,CHANDLER,BEN,,O,KY06,2008,5/14/2008,8135658
96,HONORABLE,CHRISTENSEN,DONNA M.,,O,VI00,2008,5/14/2008,8135659
97,HONORABLE,CLARKE,YVETTE D.,,O,NY11,2008,5/15/2008,8135660
98,HONORABLE,CLARKE,YVETTE D.,,A,NY11,2008,7/16/2008,8138888
99,HONORABLE,CLAY,WM. LACY,,O,MO01,2008,5/7/2008,8135661
100,HONORABLE,CLEAVER,EMANUEL,,A,MO05,2008,10/22/2009,8143487
101,HONORABLE,CLEAVER,EMANUEL,,O,MO05,2008,5/14/2008,8135662
102,HONORABLE,CLYBURN,JAMES E.,,O,SC06,2008,5/15/2008,8135663
103,HONORABLE,COBLE,HOWARD,,O,NC06,2008,5/15/2008,8135664
104,HONORABLE,COHEN,STEVE,,A,TN09,2008,6/11/2008,8138203
105,HONORABLE,COHEN,STEVE,,A,TN09,2008,7/18/2008,8138938
106,HONORABLE,COHEN,STEVE,,O,TN09,2008,5/14/2008,8135665
107,HONORABLE,COLE,TOM,,O,OK04,2008,5/14/2008,8135666
108,HONORABLE,CONAWAY,K. MICHAEL,,O,TX11,2008,5/15/2008,8135667
109,HONORABLE,CONYERS,JOHN,JR.,O,MI14,2008,5/15/2008,8135668
110,HONORABLE,COOPER,JIM,,A,TN05,2008,7/30/2008,8138978
111,HONORABLE,COOPER,JIM,,A,TN05,2008,11/17/2008,8139493
112,HONORABLE,COOPER,JIM,,O,TN05,2008,6/11/2008,8138204
113,HONORABLE,COSTA,JIM,,A,CA20,2008,3/31/2009,8139882
114,HONORABLE,COSTA,JIM,,O,CA20,2008,5/15/2008,8135669
115,HONORABLE,COSTELLO,JERRY F.,,O,IL12,2008,5/14/2008,8135670
116,HONORABLE,COURTNEY,JOE,,O,CT02,2008,5/15/2008,8135678
117,HONORABLE,CRAMER,ROBERT E. (BUD),JR.,O,AL05,2008,5/15/2008,8135671
118,HONORABLE,CRENSHAW,ANDER,,O,FL04,2008,5/8/2008,8135672
119,HONORABLE,CROWLEY,JOSEPH,,O,NY07,2008,5/14/2008,8135673
120,HONORABLE,CUBIN,BARBARA,,A,WY00,2008,6/6/2008,8138010
121,HONORABLE,CUBIN,BARBARA,,O,WY00,2008,5/14/2008,8135674
122,HONORABLE,CUELLAR,HENRY,,A,TX28,2008,6/19/2008,8138708
123,HONORABLE,CUELLAR,HENRY,,O,TX28,2008,5/15/2008,8135675
124,HONORABLE,CULBERSON,JOHN ABNEY,,O,TX07,2008,5/15/2008,8135676
125,HONORABLE,CUMMINGS,ELIJAH E.,,O,MD07,2008,5/21/2008,8135677
126,HONORABLE,DAVIS,ARTUR,,O,AL07,2008,5/20/2008,8135679
127,HONORABLE,DAVIS,DANNY K.,,O,IL07,2008,5/15/2008,8135680
128,HONORABLE,DAVIS,DAVID,,O,TN01,2008,5/15/2008,8135681
